reviewID,sentenceID,sentenceText,processedText,sentimentScore,target,category,part,polarity
1004293,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",judging from previous posts this used to be a good place but not any longer,0.2382,place,restaurant general,1,negative
1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",we there were four of us arrived at noon the place was empty and the staff acted like we were imposing on them and they were very rude,-0.4576,staff,service general,1,negative
1004293,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table,-0.5727,null,service general,1,negative
1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,the food was lousy too sweet or too salty and the portions tiny,-0.128,food,food quality,1,negative
1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,the food was lousy too sweet or too salty and the portions tiny,-0.128,portions,food style options,1,negative
1004293,1004293:4,"After all that, they complained to me about the small tip.",after all that they complained to me about the small tip,-0.4019,null,service general,1,negative
1004293,1004293:5,Avoid this place!,avoid this place,-0.3595,place,restaurant general,1,negative
1014458,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",i have eaten at saul many times the food is always consistently outrageously good,0.1779,food,food quality,1,positive
1014458,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,saul is the best restaurant on smith street and in brooklyn,0.6369,saul,restaurant general,1,positive
1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,the duck confit is always amazing and the foie gras terrine with figs was out of this world,0.5859,foie gras terrine with figs,food quality,1,positive
1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,the duck confit is always amazing and the foie gras terrine with figs was out of this world,0.5859,duck confit,food quality,1,positive
1014458,1014458:3,The wine list is interesting and has many good values.,the wine list is interesting and has many good values,0.8074,wine list,drinks style options,1,positive
1014458,1014458:3,The wine list is interesting and has many good values.,the wine list is interesting and has many good values,0.8074,wine list,drinks prices,1,positive
1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",for the price you can not eat this well in manhattan,0.3346,null,restaurant prices,1,positive
1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",for the price you can not eat this well in manhattan,0.3346,null,food quality,1,positive
1016296,1016296:0,I was very disappointed with this restaurant.,i was very disappointed with this restaurant,-0.5256,restaurant,restaurant general,1,negative
1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away,0.0,cart attendant,service general,1,negative
1016296,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,i had to ask her three times before she finally came back with the dish ive requested,0.0,null,service general,1,negative
1016296,1016296:3,"Food was okay, nothing great.",food was okay nothing great,-0.3387,food,food quality,1,neutral
1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,chow fun was dry pork shu mai was more than usually greasy and had to share a table with loud and rude family,0.3612,chow fun,food quality,1,negative
1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,chow fun was dry pork shu mai was more than usually greasy and had to share a table with loud and rude family,0.3612,pork shu mai,food quality,1,negative
1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,chow fun was dry pork shu mai was more than usually greasy and had to share a table with loud and rude family,0.3612,null,restaurant miscellaneous,1,negative
1016296,1016296:5,I/we will never go back to this place again.,i we will never go back to this place again,0.0,place,restaurant general,1,negative
1028246,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",went on a 3 day oyster binge with fish bringing up the closing and i am so glad this was the place it o trip ended because it was so great,0.886,fish,restaurant general,1,positive
1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",service was devine oysters where a sensual as they come and the price can t be beat,0.0,service,service general,1,positive
1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",service was devine oysters where a sensual as they come and the price can t be beat,0.0,oysters,food quality,1,positive
1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",service was devine oysters where a sensual as they come and the price can t be beat,0.0,null,restaurant prices,1,positive
1028246,1028246:2,You can't go wrong here.,you can t go wrong here,0.3724,null,restaurant general,1,positive
